VIN,Condition,Make,Type,Model,ModelYear,Mileage,Price,Color,StockNumber,Category,Engine,Image,Description
"L6JYGFLC0N1004648","N","KAYO","PIT BIKE","TS90","2022","0","1499.00","WHITE","2404","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2404_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2404_view2.jpg",""
"L6JACMLC8M1001285","N","KAYO","ATV","A200","2021","0","3999.00","WHITE","2414","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2414_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2414_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2414_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2414_view4.jpg",""
"JS1VT53A082100513","U","SUZUKI","ADVENTURE","DL1000 V-STROM","2008","30734","4999.00","BLACK","2437","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2437_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2437_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2437_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2437_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2437_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2437_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2437_view7.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2437_view8.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2437_view9.jpg",""
"1HD1BXB164Y019980","C","HARLEY-DAVIDSON","CRUISER","FLSTFI","2004","47296","7599.00","Lava Red Sunglo","2438","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2438_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2438_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2438_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2438_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2438_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2438_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2438_view7.jpg",""
"JKAKLEE1XHDA92394","U","KAWASAKI","ENDURO","KLR 650","2017","20710","5999.00","CAMO","2444","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2444_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2444_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2444_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2444_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2444_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2444_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2444_view7.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2444_view8.jpg",""
"","","NONE","","NONE","","0","0.00","","2448","Motorcycle","","",""
"1HD1KTC36HB664176","C","HARLEY-DAVIDSON","TOURING","FLTRXS","2017","27313","19999.00","BLACK","2463","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2463_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2463_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2463_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2463_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2463_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2463_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2463_view7.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2463_view8.jpg",""
"JS1GT7DB6L7100281","U","SUZUKI","SPORT","GSX-1000SMO KATANA","2020","11556","10599.00","SILVER","2465","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2465_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2465_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2465_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2465_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2465_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2465_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2465_view7.jpg",""
"JYAVP11Y13A004497","C","YAMAHA","CRUISER","XVS1100","2003","20533","4999.00","BLACK","2470","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2470_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2470_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2470_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2470_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2470_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2470_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2470_view7.jpg",""
"VBKV59402FM922453","C","KTM","SPORT","1290 SUPER ADVENTURE","2015","49528","9999.00","WHITE","2478","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view7.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view8.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view9.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view10.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2478_view11.jpg",""
"SMT905RN0GT735817","U","TRIUMPH","CRUISER","AMERICA","2016","10534","5999.00","BLACK","2480","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2480_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2480_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2480_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2480_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2480_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2480_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2480_view7.jpg",""
"JKBZXVK17LA001513","U","KAWASAKI","SPORT","ZX1000SX","2020","26638","7999.00","CHARCOAL","2492","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2492_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2492_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2492_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2492_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2492_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2492_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2492_view7.jpg",""
"1HFSC47491A001066","C","HONDA","TOURING","GL1800","2001","28884","6999.00","RED","2493","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view7.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view8.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view9.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2493_view10.jpg",""
"1HD1ELL37LY129418","C","HARLEY-DAVIDSON","CRUISER","FXLR","1990","6068","10000.00","RED","2494","Motorcycle","","http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view1.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view2.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view3.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view4.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view5.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view6.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view7.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view8.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view9.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view10.jpg,http://www.dcscarsonline.com/pictures/LocalUser/invtftp/2801_2494_view11.jpg",""
"","","NONE","","NONE","","0","0.00","","EMPTY","Motorcycle","","",""
"","","NONE","","NONE","","0","0.00","","UNDETERMINED","Motorcycle","","",""
